referee,ref_total_diff,ref_penalty_rate,ref_home_bias,ref_home_win_pct
Gerard Sutton,1.418,21.0,-1.0,0
Henry Perenara,13.418,16.0,-2.0,1
Ashley Klein,-2.582,18.0,-2.0,1
Gavin Badger,-3.582,18.0,2.0,0
Jared Maxwell,-8.582,12.0,8.0,0
Ben Cummins,1.418,18.0,0.0,1
Alan Shortall,3.418,15.0,3.0,0
Adam Devcich,-24.582,16.0,2.0,0
Ben Cummins,-28.582,17.0,5.0,0
Gerard Sutton,3.418,13.0,5.0,1
Alan Shortall,-0.582,18.0,4.0,1
Jared Maxwell,5.418,16.0,0.0,1
Gavin Badger,-10.582,16.0,4.0,0
Henry Perenara,19.418,8.0,0.0,1
Adam Devcich,-16.582,10.0,2.0,0
Ashley Klein,-14.582,18.0,-2.0,1
Henry Perenara,-12.582,10.0,0.0,0
Gerard Sutton,25.418,9.0,3.0,1
Ashley Klein,4.418,14.0,2.0,1
Jared Maxwell,1.418,17.0,-3.0,0
Gavin Badger,13.418,20.0,-6.0,1
Ben Cummins,-14.582,15.0,-3.0,1
Adam Devcich,-2.582,15.0,1.0,0
Matt Cecchin,-8.582,13.0,-3.0,1
Ben Cummins,4.418,16.0,2.0,1
Ashley Klein,8.418,17.0,-1.0,0
Jared Maxwell,-0.582,16.0,6.0,1
Gerard Sutton,5.418,16.0,4.0,0
Gavin Badger,-24.582,12.0,4.0,1
Matt Cecchin,-0.582,10.0,0.0,0
Adam Devcich,-0.582,13.0,-1.0,1
Henry Perenara,-5.582,8.0,2.0,1
Gerard Sutton,-5.582,14.0,0.0,0
Ashley Klein,1.418,14.0,0.0,0
Henry Perenara,4.418,10.0,4.0,0
Gavin Badger,-27.582,12.0,4.0,0
Ben Cummins,-8.582,10.0,-2.0,0
Jared Maxwell,-12.582,11.0,1.0,0
Adam Devcich,3.418,10.0,-4.0,1
Matt Cecchin,-0.582,14.0,4.0,0
Ashley Klein,-12.582,10.0,-2.0,1
Gerard Sutton,-0.582,14.0,4.0,1
Henry Perenara,13.418,16.0,0.0,0
Gavin Badger,13.418,15.0,5.0,1
Jared Maxwell,-6.582,14.0,2.0,1
Matt Cecchin,-16.582,11.0,1.0,0
Ben Cummins,-3.582,8.0,0.0,1
Alan Shortall,1.418,18.0,2.0,0
Matt Cecchin,-18.582,9.0,1.0,1
Gavin Badger,3.418,13.0,1.0,1
Jared Maxwell,-2.582,17.0,-1.0,1
Gerard Sutton,11.418,11.0,-3.0,1
Ashley Klein,-7.582,15.0,3.0,1
Henry Perenara,11.418,11.0,-3.0,0
Adam Devcich,9.418,12.0,4.0,0
Ben Cummins,-12.582,9.0,5.0,1
Gavin Badger,11.418,18.0,2.0,0
Gavin Morris,19.418,13.0,5.0,0
Ashley Klein,9.418,10.0,4.0,0
Gerard Sutton,-14.582,15.0,-1.0,0
Henry Perenara,-18.582,19.0,1.0,0
Ben Cummins,3.418,10.0,6.0,1
Gavin Badger,3.418,21.0,-1.0,1
Alan Shortall,11.418,15.0,-3.0,0
Matt Cecchin,-27.582,11.0,3.0,1
Jared Maxwell,-0.582,10.0,0.0,1
Gavin Badger,31.418,10.0,0.0,1
Gavin Morris,-4.582,21.0,1.0,0
Henry Perenara,-1.582,6.0,2.0,1
Adam Devcich,-0.582,9.0,-3.0,1
Alan Shortall,-2.582,15.0,-3.0,0
Matt Cecchin,-14.582,13.0,1.0,1
Alan Shortall,-6.582,10.0,-2.0,0
Jared Maxwell,10.418,7.0,1.0,1
Gavin Reynolds,-10.582,9.0,1.0,0
Adam Devcich,4.418,13.0,1.0,0
Henry Perenara,-12.582,12.0,4.0,1
Ben Cummins,9.418,11.0,1.0,1
Gavin Badger,-6.582,11.0,3.0,1
Alan Shortall,-19.582,14.0,-2.0,0
Jared Maxwell,-14.582,9.0,1.0,1
Matt Cecchin,-32.582,13.0,-1.0,0
Henry Perenara,34.418,7.0,3.0,0
Gavin Badger,8.418,9.0,1.0,0
Matt Cecchin,5.418,11.0,3.0,0
Gavin Reynolds,-2.582,17.0,-5.0,0
Gavin Badger,-4.582,13.0,-3.0,0
Henry Perenara,-8.582,8.0,2.0,1
Ben Cummins,3.418,13.0,-3.0,1
Alan Shortall,7.418,16.0,6.0,1
Jared Maxwell,-14.582,17.0,-5.0,1
Matt Cecchin,13.418,10.0,2.0,1
Henry Perenara,6.418,16.0,0.0,0
Gavin Reynolds,25.418,12.0,2.0,0
Jared Maxwell,-0.582,6.0,2.0,1
Alan Shortall,-20.582,12.0,2.0,0
Ben Cummins,-26.582,15.0,1.0,1
Chris James,4.418,6.0,-2.0,1
Gavin Badger,25.418,9.0,1.0,0
Matt Cecchin,-0.582,11.0,3.0,1
Gavin Badger,5.418,10.0,0.0,0
Jared Maxwell,1.418,15.0,1.0,1
Ashley Klein,7.418,14.0,2.0,0
Jared Maxwell,9.418,16.0,-4.0,1
Ashley Klein,0.418,17.0,-3.0,0
Matt Cecchin,9.418,11.0,-1.0,0
Adam Devcich,-4.582,15.0,-1.0,1
Gavin Badger,17.418,15.0,1.0,0
Henry Perenara,-14.582,11.0,3.0,0
Ben Cummins,-7.582,13.0,1.0,0
Henry Perenara,-12.582,15.0,-3.0,1
Jared Maxwell,25.418,5.0,3.0,1
Gerard Sutton,-2.582,16.0,2.0,1
Gavin Reynolds,1.418,13.0,-1.0,0
Ashley Klein,-12.582,15.0,-5.0,1
Adam Devcich,-10.582,10.0,4.0,1
Gavin Badger,6.418,13.0,-1.0,0
Ben Cummins,-16.582,10.0,-2.0,1
Jared Maxwell,-14.582,19.0,3.0,1
Matt Cecchin,-10.582,8.0,2.0,0
Ashley Klein,3.418,16.0,-6.0,1
Gavin Badger,3.418,16.0,-8.0,0
Matt Cecchin,17.418,12.0,-2.0,1
Ashley Klein,-12.582,13.0,-1.0,0
Jared Maxwell,-16.582,10.0,-2.0,0
Chris James,1.418,11.0,1.0,1
Gavin Badger,-4.582,12.0,-4.0,1
Henry Perenara,3.418,14.0,2.0,0
Ben Cummins,-8.582,13.0,1.0,0
Jared Maxwell,21.418,10.0,0.0,1
Ashley Klein,0.418,18.0,-2.0,0
Gavin Badger,-8.582,16.0,-2.0,1
Adam Devcich,-8.582,12.0,-2.0,0
Matt Cecchin,-16.582,10.0,2.0,1
Henry Perenara,17.418,10.0,4.0,1
Alan Shortall,1.418,12.0,-2.0,0
Jared Maxwell,0.418,17.0,-7.0,0
Adam Devcich,-6.582,13.0,1.0,1
Gavin Reynolds,3.418,18.0,2.0,0
Henry Perenara,17.418,10.0,4.0,1
Matt Cecchin,-14.582,13.0,-3.0,1
Ben Cummins,17.418,9.0,-1.0,0
Gerard Sutton,-6.582,19.0,-7.0,0
Gavin Badger,9.418,9.0,3.0,1
Matt Cecchin,25.418,9.0,-5.0,1
Adam Devcich,9.418,13.0,3.0,1
Gerard Sutton,15.418,15.0,1.0,1
Gavin Badger,17.418,8.0,0.0,1
Ben Cummins,-8.582,9.0,3.0,0
Gavin Reynolds,29.418,15.0,1.0,1
Matt Cecchin,-4.582,15.0,3.0,1
Henry Perenara,-2.582,15.0,1.0,1
Ben Cummins,-6.582,10.0,2.0,0
Gerard Sutton,-4.582,18.0,2.0,1
Adam Devcich,-26.582,16.0,-4.0,1
Matt Cecchin,7.418,14.0,2.0,1
Gavin Badger,-4.582,13.0,1.0,0
Ashley Klein,19.418,16.0,2.0,0
Grant Atkins,9.418,13.0,3.0,1
Henry Perenara,-2.582,17.0,1.0,0
Gavin Badger,8.418,18.0,2.0,0
Jared Maxwell,-2.582,10.0,-2.0,1
Ashley Klein,-6.582,14.0,0.0,1
Henry Perenara,5.418,15.0,5.0,1
Gavin Reynolds,1.418,15.0,-1.0,0
Alan Shortall,9.418,9.0,1.0,1
Matt Cecchin,9.418,18.0,0.0,0
Gavin Badger,-8.582,11.0,-1.0,0
Ashley Klein,-9.582,16.0,-2.0,1
Jared Maxwell,9.418,11.0,3.0,0
Gavin Badger,-18.582,9.0,1.0,1
Grant Atkins,17.418,10.0,2.0,1
Matt Cecchin,25.418,19.0,-3.0,0
Ben Cummins,-4.582,9.0,3.0,0
Gavin Reynolds,-0.582,16.0,0.0,1
Henry Perenara,-14.582,14.0,0.0,0
Matt Cecchin,18.418,10.0,2.0,0
Jared Maxwell,15.418,12.0,-2.0,0
Gavin Badger,22.418,10.0,-2.0,0
Chris James,-2.582,11.0,3.0,0
Ben Cummins,-20.582,12.0,2.0,1
Gavin Reynolds,25.418,14.0,2.0,1
Ashley Klein,13.418,13.0,-3.0,1
Henry Perenara,11.418,10.0,0.0,1
Jared Maxwell,-17.582,10.0,6.0,0
Gavin Badger,-10.582,19.0,-1.0,1
Henry Perenara,13.418,19.0,-1.0,1
Matt Cecchin,21.418,17.0,1.0,1
Gavin Reynolds,1.418,21.0,5.0,1
Ashley Klein,7.418,11.0,3.0,1
Gavin Badger,11.418,12.0,0.0,0
Ben Cummins,-14.582,15.0,1.0,0
Ben Cummins,-2.582,9.0,-1.0,0
Gavin Badger,-12.582,8.0,2.0,1
Jared Maxwell,-19.582,17.0,-3.0,1
Matt Cecchin,-0.582,16.0,2.0,1
Matt Cecchin,9.418,9.0,-3.0,1
Gavin Badger,-1.582,19.0,1.0,1
Gavin Badger,2.418,8.0,-2.0,1
Matt Cecchin,3.418,11.0,1.0,0
Ben Cummins,-7.582,9.0,1.0,0
Matt Cecchin,-20.731,8.0,0.0,0
Gerard Sutton,-7.731,20.0,2.0,0
Gavin Badger,10.269,18.0,4.0,1
Ashley Klein,18.269,17.0,-1.0,1
Ben Cummins,-7.731,16.0,0.0,1
Jared Maxwell,10.269,17.0,5.0,0
Henry Perenara,0.269,15.0,3.0,1
Gavin Reynolds,-7.731,13.0,5.0,1
Ben Cummins,-7.731,17.0,1.0,0
Gerard Sutton,-6.731,13.0,3.0,1
Gavin Reynolds,-0.731,18.0,0.0,1
Gavin Badger,12.269,18.0,0.0,1
Jared Maxwell,-5.731,14.0,6.0,1
Matt Cecchin,-9.731,14.0,0.0,1
Ashley Klein,8.269,12.0,-4.0,1
Henry Perenara,16.269,16.0,0.0,1
Gerard Sutton,-1.731,14.0,-2.0,1
Matt Cecchin,-15.731,14.0,2.0,0
Ashley Klein,6.269,21.0,-3.0,0
Gavin Reynolds,3.269,12.0,0.0,1
Gavin Badger,6.269,13.0,1.0,1
Henry Perenara,-6.731,17.0,1.0,0
Jared Maxwell,-27.731,21.0,7.0,1
Ben Cummins,-7.731,18.0,-2.0,1
Gerard Sutton,-0.731,13.0,3.0,1
Ben Cummins,12.269,10.0,2.0,0
Gavin Reynolds,0.269,13.0,5.0,0
Henry Perenara,2.269,18.0,2.0,0
Ashley Klein,-15.731,18.0,2.0,1
Matt Cecchin,-21.731,15.0,3.0,1
Gavin Badger,-33.731,18.0,2.0,0
Chris James,16.269,19.0,3.0,1
Gerard Sutton,-13.731,14.0,2.0,0
Gavin Badger,-1.731,9.0,-3.0,0
Ben Cummins,-5.731,8.0,-2.0,1
Chris James,18.269,19.0,-5.0,0
Henry Perenara,-9.731,18.0,4.0,1
Ashley Klein,-11.731,16.0,-2.0,0
Alan Shortall,-3.731,18.0,2.0,0
Matt Cecchin,18.269,16.0,2.0,0
Gerard Sutton,-15.731,16.0,0.0,1
Henry Perenara,-14.731,8.0,2.0,0
Chris James,0.269,16.0,-4.0,1
Gavin Reynolds,10.269,21.0,-1.0,0
Ashley Klein,-0.731,14.0,4.0,0
Alan Shortall,3.269,16.0,0.0,1
Gavin Badger,-7.731,12.0,4.0,1
Jared Maxwell,-11.731,10.0,4.0,0
Ben Cummins,-9.731,16.0,2.0,0
Matt Cecchin,20.269,12.0,-4.0,1
Gavin Badger,-8.731,12.0,-2.0,0
Henry Perenara,2.269,13.0,-3.0,0
Gavin Reynolds,11.269,13.0,3.0,1
Gerard Sutton,14.269,18.0,6.0,0
Ashley Klein,-4.731,14.0,4.0,0
Jared Maxwell,-5.731,14.0,2.0,0
Jared Maxwell,-3.731,17.0,1.0,1
Ashley Klein,-0.731,9.0,-3.0,1
Henry Perenara,24.269,16.0,2.0,1
Gerard Sutton,6.269,15.0,3.0,1
Alan Shortall,-3.731,16.0,-2.0,1
Gavin Badger,-5.731,17.0,1.0,0
Ben Cummins,-3.731,12.0,4.0,1
Matt Cecchin,0.269,10.0,2.0,1
Ashley Klein,10.269,7.0,3.0,0
Jared Maxwell,-9.731,10.0,2.0,1
Alan Shortall,-4.731,14.0,0.0,1
Matt Cecchin,-3.731,13.0,3.0,1
Ben Cummins,10.269,17.0,3.0,0
Gavin Badger,-5.731,14.0,2.0,1
Chris James,-3.731,15.0,-3.0,0
Gerard Sutton,16.269,12.0,-6.0,1
Ashley Klein,-13.731,17.0,1.0,1
Ben Cummins,0.269,14.0,4.0,0
Jared Maxwell,-5.731,9.0,-1.0,0
Gerard Sutton,-12.731,11.0,-3.0,1
Matt Cecchin,6.269,16.0,2.0,1
Alan Shortall,-1.731,11.0,-1.0,0
Henry Perenara,20.269,17.0,5.0,0
Gavin Badger,-9.731,19.0,-3.0,1
Matt Cecchin,16.269,11.0,-1.0,1
Ben Cummins,-4.731,8.0,0.0,1
Gerard Sutton,-9.731,15.0,-1.0,1
Grant Atkins,8.269,17.0,-3.0,0
Gavin Badger,-9.731,15.0,3.0,1
Henry Perenara,10.269,12.0,4.0,0
Jared Maxwell,10.269,13.0,3.0,1
Ashley Klein,-17.731,12.0,-2.0,0
Matt Cecchin,-4.731,14.0,-2.0,0
Alan Shortall,-17.731,19.0,-3.0,1
Ashley Klein,10.269,11.0,1.0,1
Henry Perenara,-3.731,10.0,2.0,0
Jared Maxwell,6.269,17.0,1.0,1
Henry Perenara,12.269,14.0,-2.0,1
Gavin Badger,20.269,11.0,3.0,1
Matt Cecchin,-11.731,10.0,2.0,1
Alan Shortall,15.269,13.0,-1.0,0
Ashley Klein,8.269,8.0,-2.0,1
Ben Cummins,-3.731,12.0,-4.0,0
Henry Perenara,2.269,10.0,2.0,1
Matt Cecchin,2.269,14.0,4.0,1
Alan Shortall,22.269,11.0,1.0,0
Gavin Badger,-7.731,14.0,0.0,1
Ben Cummins,4.269,9.0,1.0,0
Gavin Reynolds,13.269,14.0,0.0,0
Jared Maxwell,8.269,9.0,-1.0,0
Gerard Sutton,-18.731,20.0,2.0,1
Gavin Badger,0.269,15.0,-5.0,0
Matt Cecchin,-11.731,19.0,3.0,1
Jared Maxwell,-19.731,13.0,7.0,1
Henry Perenara,-1.731,16.0,4.0,1
Gavin Badger,12.269,16.0,0.0,1
Gavin Reynolds,6.269,11.0,1.0,0
Grant Atkins,-4.731,17.0,-3.0,1
Henry Perenara,12.269,9.0,-1.0,1
Chris James,10.269,21.0,-1.0,0
Jared Maxwell,7.269,14.0,0.0,1
Matt Cecchin,14.269,10.0,2.0,1
Alan Shortall,2.269,11.0,1.0,0
Ben Cummins,12.269,12.0,4.0,0
Matt Cecchin,3.269,10.0,0.0,1
Gavin Reynolds,18.269,10.0,-6.0,1
Ashley Klein,16.269,8.0,2.0,1
Jared Maxwell,12.269,14.0,2.0,1
Gerard Sutton,-21.731,16.0,-4.0,0
Henry Perenara,0.269,16.0,2.0,1
Matt Cecchin,-1.731,11.0,-1.0,1
Ashley Klein,12.269,12.0,-2.0,1
Henry Perenara,-5.731,16.0,4.0,0
Alan Shortall,-3.731,12.0,4.0,1
Matt Cecchin,2.269,7.0,-1.0,0
Gavin Badger,-12.731,14.0,-2.0,1
Jared Maxwell,-1.731,9.0,1.0,0
Henry Perenara,-5.731,14.0,0.0,0
Ben Cummins,-1.731,10.0,4.0,1
Ashley Klein,10.269,13.0,5.0,0
Jared Maxwell,-5.731,13.0,-3.0,1
Matt Cecchin,1.269,13.0,-3.0,0
Chris James,6.269,11.0,1.0,1
Grant Atkins,6.269,14.0,2.0,1
Gavin Badger,-5.731,12.0,2.0,1
Alan Shortall,-1.731,20.0,-2.0,1
Ashley Klein,-4.731,16.0,-2.0,0
Henry Perenara,-9.731,17.0,5.0,0
Ashley Klein,6.269,9.0,1.0,1
Matt Cecchin,-18.731,6.0,-2.0,1
Grant Atkins,-5.731,14.0,-2.0,1
Henry Perenara,-10.731,18.0,0.0,0
Ben Cummins,-17.731,11.0,1.0,0
Jared Maxwell,16.269,7.0,-1.0,0
Gavin Badger,10.269,15.0,-1.0,1
Alan Shortall,-5.731,17.0,-5.0,0
Ben Cummins,-21.731,7.0,5.0,0
Matt Cecchin,-22.731,14.0,0.0,1
Henry Perenara,0.269,9.0,-3.0,0
Ashley Klein,2.269,18.0,4.0,0
Grant Atkins,-12.731,20.0,6.0,1
Jared Maxwell,-3.731,7.0,1.0,0
Alan Shortall,-1.731,14.0,0.0,1
Gavin Badger,14.269,13.0,1.0,1
Ashley Klein,-5.731,18.0,2.0,1
Alan Shortall,12.269,11.0,1.0,1
Gavin Badger,-4.731,14.0,4.0,0
Henry Perenara,21.269,12.0,-2.0,0
Gerard Sutton,8.269,7.0,3.0,1
Adam Devcich,6.269,16.0,4.0,0
Jared Maxwell,-9.731,12.0,0.0,1
Matt Cecchin,-11.731,18.0,-2.0,1
Gerard Sutton,-11.731,12.0,-2.0,1
Jared Maxwell,8.269,12.0,2.0,1
Grant Atkins,-9.731,21.0,-3.0,0
Henry Perenara,14.269,10.0,-2.0,0
Ashley Klein,-1.731,9.0,3.0,1
Alan Shortall,4.269,19.0,1.0,1
Matt Cecchin,6.269,10.0,0.0,1
Gavin Badger,-23.731,13.0,5.0,1
Jared Maxwell,-1.731,14.0,2.0,0
Gavin Badger,0.269,11.0,1.0,0
Ben Cummins,32.269,12.0,2.0,0
Grant Atkins,-12.731,16.0,2.0,0
Matt Cecchin,7.269,18.0,6.0,1
Alan Shortall,18.269,10.0,-2.0,0
Henry Perenara,4.269,16.0,2.0,0
Gavin Reynolds,6.269,9.0,1.0,1
Ben Cummins,-3.731,12.0,0.0,1
Gavin Badger,-3.731,12.0,-4.0,0
Henry Perenara,12.269,8.0,2.0,1
Matt Cecchin,6.269,15.0,1.0,1
Alan Shortall,-9.731,11.0,-1.0,1
Jared Maxwell,20.269,17.0,5.0,0
Gavin Reynolds,16.269,11.0,3.0,0
Grant Atkins,0.269,16.0,-4.0,1
Gavin Badger,30.269,12.0,4.0,1
Matt Cecchin,-11.731,14.0,0.0,0
Ben Cummins,-15.731,9.0,3.0,1
Jared Maxwell,-1.731,12.0,4.0,1
Matt Cecchin,4.269,14.0,2.0,1
Ben Cummins,-7.731,16.0,2.0,1
Ben Cummins,10.269,14.0,2.0,1
Matt Cecchin,-15.731,18.0,4.0,1
Matt Cecchin,-15.731,8.0,2.0,1
Matt Cecchin,3.264,15.0,-5.0,0
Gerard Sutton,-22.736,15.0,3.0,0
Ashley Klein,11.264,8.0,0.0,0
Henry Perenara,11.264,11.0,3.0,1
Ben Cummins,-4.736,15.0,7.0,1
Gavin Badger,9.264,13.0,3.0,0
Alan Shortall,7.264,9.0,-3.0,1
Grant Atkins,-8.736,12.0,-2.0,0
Ben Cummins,11.264,7.0,-3.0,1
Grant Atkins,-4.736,17.0,1.0,0
Matt Cecchin,0.264,10.0,4.0,0
Henry Perenara,19.264,10.0,2.0,1
Gavin Badger,15.264,11.0,-5.0,0
Ashley Klein,17.264,15.0,3.0,0
Gerard Sutton,-2.736,13.0,5.0,0
David Munro,9.264,13.0,3.0,0
Gerard Sutton,-14.736,20.0,6.0,1
Gavin Badger,-4.736,14.0,0.0,1
Ashley Klein,-0.736,14.0,2.0,1
David Munro,1.264,11.0,1.0,0
Grant Atkins,-14.736,19.0,-1.0,0
Henry Perenara,-2.736,19.0,1.0,0
Matt Cecchin,11.264,16.0,2.0,1
Ben Cummins,-14.736,12.0,-6.0,0
Alan Shortall,-14.736,10.0,2.0,0
Henry Perenara,-0.736,18.0,2.0,1
Ashley Klein,-15.736,10.0,-2.0,1
Gavin Badger,-4.736,13.0,3.0,1
Matt Cecchin,-14.736,18.0,2.0,0
Grant Atkins,17.264,16.0,2.0,0
Ben Cummins,-4.736,6.0,4.0,0
David Munro,-2.736,14.0,2.0,1
Matt Cecchin,-23.736,14.0,2.0,1
Ben Cummins,-10.736,11.0,1.0,0
Gavin Badger,-14.736,8.0,2.0,1
Grant Atkins,-3.736,10.0,4.0,1
Alan Shortall,7.264,10.0,2.0,1
Ashley Klein,-6.736,18.0,-6.0,1
Gavin Reynolds,9.264,9.0,1.0,1
Henry Perenara,-6.736,17.0,-1.0,0
Alan Shortall,-0.736,10.0,6.0,1
Gavin Reynolds,-6.736,13.0,-3.0,0
Ben Cummins,0.264,11.0,-3.0,0
Gavin Badger,4.264,9.0,-1.0,0
Ashley Klein,17.264,10.0,-4.0,0
Grant Atkins,1.264,12.0,6.0,0
Henry Perenara,-8.736,15.0,1.0,1
Matt Cecchin,-27.736,16.0,2.0,0
Matt Cecchin,-7.736,22.0,2.0,1
Gavin Badger,-10.736,6.0,4.0,0
Grant Atkins,5.264,7.0,1.0,1
Ashley Klein,15.264,14.0,0.0,0
Gavin Reynolds,-12.736,13.0,5.0,1
Henry Perenara,9.264,10.0,0.0,1
Gerard Sutton,-10.736,16.0,0.0,0
Ben Cummins,7.264,7.0,-1.0,1
Grant Atkins,-2.736,22.0,0.0,0
Ashley Klein,8.264,14.0,-4.0,0
Gavin Badger,-10.736,11.0,-1.0,1
Gavin Reynolds,-4.736,18.0,2.0,1
Henry Perenara,-12.736,16.0,-2.0,0
Gerard Sutton,-10.736,13.0,3.0,1
Matt Cecchin,-15.736,14.0,4.0,1
Ben Cummins,-6.736,13.0,3.0,1
Gerard Sutton,9.264,9.0,-5.0,1
Gavin Badger,13.264,12.0,2.0,0
Grant Atkins,-8.736,14.0,2.0,0
Alan Shortall,5.264,13.0,1.0,1
Henry Perenara,-14.736,9.0,-1.0,1
Ben Cummins,-2.736,9.0,5.0,0
Ashley Klein,-13.736,9.0,5.0,1
Matt Cecchin,15.264,15.0,5.0,0
Matt Cecchin,3.264,18.0,2.0,0
Gerard Sutton,-8.736,11.0,3.0,0
Henry Perenara,-4.736,10.0,-2.0,0
Ben Cummins,23.264,7.0,3.0,1
Alan Shortall,33.264,13.0,-1.0,0
Ashley Klein,-2.736,10.0,0.0,0
Gavin Badger,13.264,15.0,1.0,1
Gavin Reynolds,17.264,8.0,4.0,1
Ashley Klein,-8.736,8.0,0.0,1
Henry Perenara,3.264,9.0,1.0,0
Gavin Reynolds,-4.736,7.0,3.0,1
Matt Cecchin,-0.736,15.0,1.0,0
Ben Cummins,-2.736,12.0,2.0,0
Chris James,9.264,18.0,-2.0,0
Alan Shortall,1.264,9.0,3.0,0
Gavin Badger,-20.736,12.0,4.0,0
Alan Shortall,-2.736,15.0,5.0,0
Gavin Reynolds,-2.736,5.0,1.0,1
Gavin Badger,-23.736,13.0,3.0,1
Henry Perenara,-0.736,15.0,-3.0,1
Gavin Reynolds,11.264,12.0,4.0,1
Ashley Klein,15.264,16.0,2.0,1
Gavin Badger,-12.736,10.0,-2.0,1
Ben Cummins,-6.736,12.0,-4.0,1
Henry Perenara,-12.736,15.0,5.0,1
Gerard Sutton,0.264,9.0,-3.0,1
Alan Shortall,-2.736,18.0,-4.0,0
Matt Cecchin,-9.736,15.0,3.0,0
Ashley Klein,-8.736,17.0,-1.0,1
Gerard Sutton,1.264,12.0,0.0,1
David Munro,5.264,9.0,-3.0,0
Henry Perenara,3.264,17.0,-3.0,1
Gavin Reynolds,-2.736,11.0,-3.0,0
Alan Shortall,17.264,9.0,1.0,0
Gavin Badger,-22.736,12.0,0.0,1
Ashley Klein,15.264,14.0,2.0,1
Ben Cummins,4.264,18.0,-4.0,1
Henry Perenara,5.264,11.0,-3.0,1
Grant Atkins,-6.736,6.0,-4.0,1
Ashley Klein,-5.736,10.0,-2.0,1
Gavin Badger,-0.736,9.0,1.0,0
Grant Atkins,-14.736,17.0,5.0,1
Henry Perenara,9.264,10.0,0.0,0
Matt Cecchin,8.264,12.0,2.0,1
Gavin Reynolds,19.264,14.0,0.0,1
Ben Cummins,12.264,12.0,6.0,0
Henry Perenara,-15.736,13.0,-1.0,1
Grant Atkins,-10.736,18.0,4.0,1
Ashley Klein,13.264,10.0,-2.0,0
Chris James,15.264,11.0,-1.0,0
Gavin Badger,7.264,10.0,-2.0,1
Ben Cummins,8.264,9.0,-1.0,0
Alan Shortall,4.264,11.0,-1.0,0
Matt Cecchin,15.264,14.0,2.0,1
Ashley Klein,-14.736,15.0,1.0,1
Henry Perenara,-16.736,18.0,10.0,1
Gavin Badger,-12.736,11.0,3.0,0
Ben Cummins,-2.736,13.0,-3.0,1
Alan Shortall,15.264,7.0,1.0,0
Grant Atkins,-8.736,15.0,3.0,1
Chris James,15.264,9.0,3.0,0
Ashley Klein,-0.736,10.0,-2.0,1
Gerard Sutton,3.264,12.0,4.0,1
Gavin Badger,-7.736,13.0,-3.0,0
Grant Atkins,13.264,13.0,5.0,1
Chris James,-8.736,13.0,-1.0,1
Ben Cummins,-2.736,17.0,1.0,1
Gavin Badger,-0.736,15.0,1.0,1
Matt Cecchin,-6.736,18.0,0.0,0
Henry Perenara,-4.736,15.0,1.0,1
Ashley Klein,33.264,16.0,2.0,1
Adam Gee,-7.736,15.0,-1.0,0
Ben Cummins,-16.736,10.0,-2.0,1
Matt Cecchin,-2.736,18.0,-2.0,0
Ashley Klein,1.264,15.0,3.0,1
Gavin Badger,-5.736,8.0,2.0,1
Henry Perenara,9.264,19.0,1.0,0
Grant Atkins,-2.736,16.0,2.0,1
Gerard Sutton,5.264,14.0,0.0,1
Chris James,-10.736,11.0,1.0,0
Gavin Reynolds,-16.736,14.0,0.0,0
Ben Cummins,9.264,8.0,4.0,0
Ashley Klein,-6.736,16.0,2.0,0
Chris James,-4.736,17.0,3.0,1
Henry Perenara,13.264,14.0,4.0,0
Gerard Sutton,1.264,21.0,-3.0,0
Matt Cecchin,13.264,11.0,3.0,1
Gavin Badger,1.264,14.0,4.0,1
Gavin Badger,1.264,10.0,2.0,1
Henry Perenara,-1.736,12.0,2.0,0
Ben Cummins,1.264,12.0,2.0,1
Ashley Klein,17.264,17.0,3.0,1
Gerard Sutton,-11.736,17.0,5.0,1
Matt Cecchin,-0.736,14.0,-2.0,1
Gavin Reynolds,11.264,10.0,2.0,0
Chris James,15.264,15.0,1.0,1
Gavin Badger,-2.736,17.0,1.0,1
Chris Sutton,13.264,15.0,3.0,1
Matt Cecchin,-4.736,10.0,-6.0,1
Adam Gee,15.264,16.0,2.0,0
Henry Perenara,-0.736,10.0,0.0,1
Gerard Sutton,1.264,18.0,0.0,0
Ashley Klein,7.264,11.0,5.0,0
Gavin Badger,5.264,11.0,-1.0,1
Ashley Klein,45.264,12.0,8.0,0
Grant Atkins,33.264,23.0,1.0,1
Ben Cummins,-4.736,13.0,-1.0,0
Chris James,-0.736,9.0,-5.0,0
Henry Perenara,29.264,13.0,5.0,1
Matt Cecchin,-10.736,13.0,3.0,0
Gavin Badger,2.264,10.0,-2.0,0
Ben Cummins,-10.736,14.0,-2.0,0
Gerard Sutton,-10.736,11.0,7.0,0
Gavin Badger,-2.736,14.0,-4.0,1
Ben Cummins,-4.736,21.0,3.0,1
Matt Cecchin,-0.736,12.0,0.0,1
David Munro,-2.736,17.0,-1.0,1
Henry Perenara,3.264,17.0,1.0,0
Ashley Klein,5.264,11.0,5.0,0
Adam Gee,3.264,10.0,0.0,1
Matt Cecchin,5.264,8.0,2.0,1
Ben Cummins,-6.736,14.0,4.0,1
Gerard Sutton,-8.736,15.0,-1.0,0
Gavin Badger,-11.736,16.0,-6.0,0
Gerard Sutton,-21.736,13.0,-3.0,1
Matt Cecchin,-0.736,6.0,2.0,0
Matt Cecchin,-10.736,7.0,3.0,1
Gerard Sutton,4.264,7.0,-3.0,0
Matt Cecchin,-0.736,8.0,-2.0,1
