referee,ref_total_diff,ref_penalty_rate,ref_home_bias,ref_home_win_pct
Jason Robinson,-10.184,11.0,1.0,1
Ben Cummins,3.816,10.0,2.0,0
Matt Cecchin,-4.184,12.0,-2.0,1
Tony Archer,-11.184,17.0,3.0,1
Shayne Hayne,-24.184,14.0,8.0,0
Ashley Klein,17.816,14.0,2.0,1
Matt Cecchin,-8.184,10.0,2.0,0
Shayne Hayne,-13.184,8.0,-2.0,0
Steve Lyons,-23.184,13.0,3.0,1
Ben Cummins,19.816,9.0,-3.0,0
Jared Maxwell,23.816,15.0,3.0,0
Jason Robinson,27.816,13.0,5.0,1
Gavin Badger,25.816,9.0,-5.0,1
Matt Cecchin,-0.184,11.0,7.0,1
Tony Archer,5.816,8.0,-2.0,0
Tony De Las Heras,-21.184,12.0,4.0,0
Matt Cecchin,-9.184,14.0,2.0,1
Jason Robinson,-14.184,13.0,1.0,1
Steve Lyons,9.816,11.0,-3.0,1
Gavin Badger,23.816,10.0,2.0,1
Shayne Hayne,15.816,14.0,-4.0,1
Tony Archer,21.816,11.0,5.0,0
Matt Cecchin,1.816,12.0,-2.0,1
Steve Lyons,-2.184,15.0,3.0,1
Shayne Hayne,17.816,16.0,6.0,0
Jason Robinson,3.816,20.0,4.0,1
Tony Archer,5.816,8.0,0.0,0
Ben Cummins,5.816,12.0,4.0,1
Gavin Badger,-26.184,13.0,1.0,1
Matt Cecchin,3.816,13.0,1.0,1
Ben Cummins,17.816,8.0,-2.0,0
Gavin Badger,3.816,6.0,0.0,1
Matt Cecchin,-10.184,13.0,-1.0,1
Jason Robinson,21.816,18.0,0.0,1
Steve Lyons,4.816,12.0,4.0,0
Gavin Badger,-6.184,14.0,0.0,1
Tony Archer,-11.184,13.0,-1.0,0
Ben Cummins,13.816,10.0,2.0,1
Tony Archer,1.816,9.0,-1.0,0
Matt Cecchin,-12.184,18.0,6.0,1
Jason Robinson,12.816,13.0,1.0,1
Jared Maxwell,-0.184,11.0,1.0,0
Ben Cummins,-10.184,17.0,5.0,1
Steve Lyons,-8.184,9.0,-3.0,1
Tony Archer,18.816,11.0,3.0,1
Matt Cecchin,-0.184,8.0,0.0,1
Tony Archer,29.816,13.0,1.0,1
Gavin Badger,19.816,10.0,4.0,1
Steve Lyons,-7.184,15.0,5.0,1
Jason Robinson,-0.184,9.0,1.0,0
Luke Phillips,-14.184,15.0,1.0,1
Matt Cecchin,5.816,11.0,3.0,1
Shayne Hayne,-4.184,12.0,6.0,0
Steve Lyons,-5.184,8.0,2.0,0
Tony De Las Heras,-2.184,12.0,2.0,1
Matt Cecchin,-2.184,15.0,1.0,1
Jason Robinson,3.816,13.0,1.0,1
Shayne Hayne,1.816,13.0,3.0,0
Ashley Klein,9.816,12.0,2.0,1
Gavin Badger,-2.184,9.0,1.0,1
Tony Archer,1.816,11.0,-1.0,1
Steve Lyons,-0.184,18.0,-2.0,0
Tony Archer,-3.184,9.0,3.0,1
Jared Maxwell,-8.184,9.0,5.0,0
Matt Cecchin,-4.184,12.0,6.0,0
Steve Lyons,-16.184,13.0,5.0,0
Jason Robinson,19.816,10.0,-2.0,1
Ashley Klein,-4.184,16.0,2.0,1
Shayne Hayne,11.816,5.0,1.0,0
Ben Cummins,19.816,10.0,2.0,1
Tony Archer,1.816,6.0,2.0,1
Matt Cecchin,-8.184,8.0,-2.0,0
Steve Lyons,3.816,11.0,-1.0,0
Jason Robinson,-14.184,15.0,5.0,1
Tony Archer,7.816,11.0,1.0,0
Shayne Hayne,3.816,12.0,2.0,1
Tony Archer,-4.184,11.0,1.0,0
Shayne Hayne,-17.184,9.0,1.0,1
Tony Archer,-2.184,7.0,3.0,1
Tony Archer,29.97,15.0,-3.0,1
Shayne Hayne,-9.03,9.0,3.0,0
Steve Lyons,2.97,13.0,1.0,0
Matt Cecchin,-15.03,9.0,1.0,1
Jared Maxwell,1.97,7.0,-1.0,0
Ashley Klein,12.97,12.0,-4.0,1
Tony De Las Heras,10.97,16.0,0.0,0
Gavin Badger,-1.03,12.0,0.0,1
Shayne Hayne,-13.03,16.0,0.0,0
Matt Cecchin,-15.03,14.0,-2.0,0
Ashley Klein,12.97,17.0,-5.0,1
Tony Archer,-7.03,12.0,0.0,1
Jared Maxwell,16.97,12.0,4.0,0
Gavin Badger,7.97,9.0,1.0,0
Tony De Las Heras,3.97,12.0,0.0,0
Jason Robinson,-13.03,15.0,-1.0,1
Matt Cecchin,10.97,11.0,-1.0,0
Gavin Badger,-17.03,11.0,3.0,0
Jared Maxwell,16.97,14.0,-6.0,0
Jason Robinson,18.97,13.0,3.0,1
Tony De Las Heras,-2.03,9.0,5.0,0
Ashley Klein,4.97,18.0,2.0,1
Shayne Hayne,-1.03,17.0,-3.0,1
Tony Archer,0.97,13.0,1.0,1
Ashley Klein,22.97,8.0,2.0,1
Jason Robinson,-11.03,14.0,4.0,1
Matt Cecchin,5.97,9.0,3.0,0
Jared Maxwell,2.97,10.0,2.0,1
Gavin Badger,4.97,9.0,-1.0,0
Tony De Las Heras,-1.03,8.0,0.0,0
Tony Archer,-9.03,14.0,0.0,1
Shayne Hayne,6.97,10.0,0.0,1
Tony De Las Heras,-5.03,19.0,1.0,1
Ashley Klein,-3.03,13.0,3.0,1
Jason Robinson,-3.03,16.0,2.0,1
Matt Cecchin,-7.03,10.0,-2.0,0
Gavin Badger,6.97,16.0,0.0,1
Tony Archer,-1.03,9.0,1.0,1
Shayne Hayne,-8.03,7.0,1.0,1
Jared Maxwell,-16.03,14.0,2.0,1
Ashley Klein,8.97,9.0,1.0,0
Shayne Hayne,-5.03,18.0,2.0,1
Tony Archer,-9.03,14.0,0.0,1
Matt Cecchin,-9.03,9.0,-1.0,0
Steve Lyons,4.97,15.0,7.0,1
Jason Robinson,4.97,12.0,-6.0,1
Ben Cummins,-4.03,12.0,2.0,0
Jared Maxwell,-23.03,14.0,-2.0,0
Tony Archer,9.97,16.0,-2.0,0
Jason Robinson,-1.03,16.0,-2.0,1
Steve Lyons,2.97,9.0,5.0,0
Tony De Las Heras,20.97,7.0,-1.0,1
Ashley Klein,0.97,13.0,5.0,1
Matt Cecchin,-5.03,8.0,-2.0,0
Shayne Hayne,-7.03,13.0,3.0,0
Jared Maxwell,-5.03,8.0,2.0,0
Gavin Badger,-7.03,8.0,2.0,1
Tony Archer,3.97,6.0,0.0,1
Matt Cecchin,-2.03,13.0,-3.0,1
Jason Robinson,14.97,14.0,2.0,1
Shayne Hayne,2.97,9.0,3.0,1
Jared Maxwell,4.97,13.0,3.0,1
Ashley Klein,21.97,11.0,-1.0,0
Tony De Las Heras,-9.03,6.0,2.0,1
Shayne Hayne,11.97,10.0,4.0,0
Jason Robinson,8.97,8.0,4.0,0
Matt Cecchin,-9.03,5.0,1.0,1
Tony Archer,-19.03,9.0,1.0,1
Tony De Las Heras,-14.03,9.0,-5.0,0
Matt Cecchin,3.97,14.0,-4.0,1
Chris James,-7.03,11.0,1.0,0
Steve Lyons,7.97,9.0,1.0,1
Luke Phillips,26.97,6.0,0.0,1
Tony Archer,1.97,6.0,2.0,0
Shayne Hayne,-17.03,11.0,3.0,1
Gavin Badger,-11.03,11.0,-1.0,0
Shayne Hayne,-7.03,8.0,0.0,1
Ben Cummins,-1.03,14.0,2.0,1
Steve Lyons,-21.03,6.0,0.0,1
Matt Cecchin,-17.03,10.0,2.0,1
Jason Robinson,6.97,12.0,2.0,1
Ben Cummins,4.97,10.0,-4.0,1
Ashley Klein,-5.03,16.0,-2.0,1
Gavin Badger,-25.03,13.0,3.0,1
Jason Robinson,-13.03,12.0,2.0,1
Steve Lyons,-17.03,14.0,-2.0,1
Matt Cecchin,2.97,13.0,-3.0,1
Luke Phillips,-7.03,12.0,0.0,1
Ashley Klein,-11.03,7.0,5.0,0
Matt Cecchin,10.97,9.0,-1.0,0
Luke Phillips,-6.03,7.0,1.0,0
Shayne Hayne,2.97,7.0,-1.0,0
Jason Robinson,-20.03,16.0,0.0,1
Gavin Badger,24.97,9.0,-1.0,0
Ben Cummins,-17.03,7.0,5.0,0
Steve Lyons,-6.03,11.0,7.0,1
Tony Archer,2.97,7.0,-1.0,0
Jared Maxwell,-11.03,13.0,-3.0,1
Jason Robinson,9.97,9.0,3.0,1
Ashley Klein,8.97,10.0,0.0,0
Gavin Badger,-14.03,12.0,6.0,1
Jared Maxwell,-4.03,5.0,3.0,1
Jason Robinson,-0.03,14.0,0.0,1
Gavin Badger,-11.03,14.0,2.0,1
Matt Cecchin,0.97,8.0,0.0,1
Steve Lyons,-3.03,14.0,0.0,0
Ashley Klein,-23.03,18.0,4.0,0
Tony Archer,0.97,6.0,2.0,1
Steve Lyons,-11.03,10.0,6.0,1
Matt Cecchin,-17.03,13.0,3.0,0
Tony De Las Heras,8.97,16.0,-6.0,0
Jared Maxwell,-2.03,9.0,1.0,1
Tony Archer,-15.03,11.0,3.0,0
Ashley Klein,10.97,13.0,1.0,1
Ben Cummins,-11.03,7.0,3.0,1
Shayne Hayne,-9.03,15.0,3.0,1
Jared Maxwell,-11.03,7.0,3.0,0
Jason Robinson,-13.03,14.0,0.0,1
Steve Lyons,-9.03,13.0,1.0,1
Ben Cummins,-15.03,13.0,5.0,0
Henry Perenara,10.97,8.0,-2.0,0
Ben Cummins,-11.03,11.0,1.0,1
Gavin Badger,-11.03,11.0,-1.0,1
Jason Robinson,-1.03,6.0,0.0,1
Steve Lyons,6.97,10.0,4.0,0
Henry Perenara,20.97,15.0,1.0,1
Ashley Klein,18.97,13.0,3.0,1
Tony De Las Heras,-5.03,7.0,1.0,0
Gavin Badger,0.97,18.0,-6.0,1
Shayne Hayne,8.97,10.0,0.0,1
Phil Haines,1.97,10.0,4.0,1
Ben Cummins,16.97,6.0,-4.0,0
Jared Maxwell,5.97,12.0,-4.0,1
Matt Cecchin,-13.03,10.0,0.0,0
Tony Archer,2.97,9.0,-1.0,0
Steve Lyons,6.97,14.0,2.0,1
Alan Shortall,-24.03,14.0,2.0,1
Tony Archer,-7.03,6.0,2.0,1
Henry Perenara,8.97,7.0,1.0,0
Jason Robinson,-8.03,14.0,4.0,1
Gavin Badger,-21.03,16.0,2.0,0
Matt Cecchin,24.97,8.0,2.0,0
Shayne Hayne,-19.03,13.0,7.0,0
Phil Haines,3.97,10.0,-2.0,1
Jared Maxwell,22.97,9.0,1.0,1
Jason Robinson,-13.03,8.0,0.0,0
Ben Cummins,20.97,9.0,5.0,1
Tony Archer,8.97,10.0,2.0,1
Gavin Badger,30.97,9.0,3.0,1
Matt Cecchin,-0.03,8.0,-4.0,1
Shayne Hayne,18.97,5.0,3.0,0
Steve Lyons,0.97,15.0,7.0,0
Jared Maxwell,-19.03,16.0,2.0,1
Tony Archer,-9.03,7.0,1.0,1
Ben Cummins,-7.03,12.0,4.0,1
Gavin Badger,-3.03,13.0,7.0,0
Ashley Klein,1.97,8.0,2.0,1
Steve Lyons,8.97,9.0,1.0,1
Matt Cecchin,4.97,13.0,-1.0,1
Chris James,22.97,10.0,2.0,1
Ashley Klein,10.97,11.0,3.0,0
Matt Cecchin,10.97,12.0,0.0,0
Shayne Hayne,-7.03,13.0,-1.0,1
Tony Archer,6.97,9.0,3.0,0
Jason Robinson,16.97,13.0,3.0,0
Steve Lyons,25.97,7.0,1.0,0
Ben Cummins,-7.03,13.0,1.0,0
Jared Maxwell,-8.03,10.0,0.0,0
Tony Archer,-25.03,7.0,1.0,1
Ben Cummins,10.97,11.0,5.0,1
Tony De Las Heras,4.97,11.0,3.0,1
Gavin Badger,-1.03,10.0,0.0,0
Steve Lyons,21.97,16.0,-2.0,1
Jason Robinson,3.97,13.0,1.0,1
Jared Maxwell,3.97,12.0,2.0,1
Shayne Hayne,-7.03,13.0,-1.0,0
Shayne Hayne,-17.03,10.0,6.0,1
Jason Robinson,-14.03,9.0,1.0,0
Matt Cecchin,14.97,11.0,-1.0,1
Tony De Las Heras,8.97,10.0,4.0,1
Brett Suttor,-2.03,14.0,2.0,0
Ashley Klein,8.97,12.0,0.0,1
Tony Archer,-7.03,8.0,4.0,1
Steve Lyons,9.97,14.0,4.0,1
Matt Cecchin,24.97,4.0,0.0,1
Gavin Badger,4.97,10.0,-4.0,1
Tony Archer,-15.03,14.0,0.0,1
Ben Cummins,12.97,9.0,3.0,0
Chris James,4.97,10.0,0.0,0
Steve Lyons,18.97,8.0,2.0,1
Jared Maxwell,-11.03,13.0,5.0,1
Jason Robinson,8.97,17.0,3.0,1
Tony Archer,-6.03,7.0,-1.0,1
Shayne Hayne,10.97,8.0,2.0,1
Gavin Badger,10.97,14.0,2.0,1
Ashley Klein,-13.03,15.0,1.0,1
Shayne Hayne,2.97,13.0,5.0,0
Tony Archer,-14.03,8.0,4.0,1
Shayne Hayne,0.97,14.0,2.0,1
Tony Archer,-7.03,5.0,-3.0,0
Tony Archer,-5.03,6.0,0.0,1
