season,team_name,games,goals_pg,behinds_pg,scoring_shots_pg,goal_conv_pct,inside_50s_pg,rebound_50s_pg,marks_i50_pg,hitouts_pg,clearances_pg,centre_clearances_pg,stoppage_clearances_pg,cp_pg,intercept_poss_pg,tackles_i50_pg
2017,Adelaide Crows,25.0,15.8,13.0,28.8,0.5486,57.5,34.8,14.6,71.9,39.6,13.2,26.4,154.7,77.0,13.6
2017,Brisbane Lions,22.0,12.6,10.1,22.7,0.5551,46.0,39.2,9.4,62.1,36.4,13.5,22.9,130.9,64.3,10.2
2017,Carlton Blues,22.0,10.6,9.2,19.799999999999997,0.5354,46.6,35.9,10.9,69.4,34.3,11.8,22.6,137.6,69.0,10.7
2017,Collingwood Magpies,22.0,12.6,12.5,25.1,0.502,54.4,32.5,12.6,69.5,37.5,12.3,25.1,144.1,70.2,11.3
2017,Essendon Bombers,23.0,13.9,12.0,25.9,0.5367,51.4,38.1,12.3,64.2,34.1,13.4,20.7,138.6,70.5,10.3
2017,Fremantle Dockers,22.0,10.5,10.0,20.5,0.5122,47.5,35.5,9.1,63.7,36.0,12.8,23.2,133.3,64.3,8.8
2017,Geelong Cats,25.0,13.7,11.5,25.2,0.5437,53.0,33.7,12.6,76.0,37.4,12.6,24.8,147.4,68.8,13.7
2017,Gold Coast Suns,22.0,11.7,9.7,21.4,0.5467,48.3,37.4,10.3,61.6,36.4,13.9,22.3,138.0,64.0,10.1
2017,Greater Western Sydney Giants,25.0,13.4,12.2,25.6,0.5234,54.4,36.7,11.8,70.5,42.4,13.6,28.8,144.3,66.1,11.9
2017,Hawthorn Hawks,22.0,12.4,10.3,22.700000000000003,0.5463,48.4,32.7,11.1,69.8,35.1,11.2,23.9,134.4,66.0,10.7
2017,Melbourne Demons,22.0,13.7,10.1,23.799999999999997,0.5756,54.8,34.9,11.9,71.8,38.0,13.5,24.4,153.2,73.3,13.5
2017,North Melbourne Kangaroos,22.0,13.2,11.1,24.299999999999997,0.5432,52.9,36.0,12.7,69.6,35.9,13.4,22.6,139.6,66.9,11.9
2017,Port Adelaide Power,23.0,14.0,13.3,27.3,0.5128,59.3,34.4,13.4,69.5,38.7,13.3,25.5,150.6,73.8,13.7
2017,Richmond Tigers,25.0,13.2,12.3,25.5,0.5176,55.8,35.8,14.0,69.7,35.9,12.9,23.0,144.9,77.4,14.3
2017,St Kilda Saints,22.0,12.3,13.6,25.9,0.4749,52.7,36.0,13.0,69.2,35.8,12.4,23.4,142.7,72.7,13.9
2017,Sydney Swans,24.0,13.7,11.6,25.299999999999997,0.5415,52.6,37.0,13.0,69.4,36.1,12.4,23.7,146.1,72.1,12.9
2017,West Coast Eagles,24.0,12.9,10.2,23.1,0.5584,49.5,36.6,11.8,63.4,37.3,12.2,25.1,139.3,69.9,11.7
2017,Western Bulldogs,22.0,11.8,13.5,25.3,0.4664,54.7,33.0,12.1,70.5,34.7,11.3,23.4,143.9,68.5,11.7
2018,Adelaide Crows,22.0,12.7,12.1,24.799999999999997,0.5121,52.8,36.7,9.4,64.6,37.4,12.1,25.4,153.6,77.0,11.4
2018,Brisbane Lions,22.0,12.1,10.4,22.5,0.5378,51.0,38.1,11.9,58.2,37.6,12.8,24.8,136.2,65.5,9.9
2018,Carlton Blues,22.0,8.7,9.1,17.799999999999997,0.4888,45.2,36.0,9.2,63.4,35.0,12.2,22.9,135.6,63.0,8.4
2018,Collingwood Magpies,26.0,13.3,11.0,24.3,0.5473,54.7,35.8,11.2,68.3,38.1,12.2,25.9,152.5,75.2,10.0
2018,Essendon Bombers,22.0,12.7,11.4,24.1,0.527,53.3,36.8,12.2,66.7,36.8,12.6,24.2,143.4,70.3,11.8
2018,Fremantle Dockers,22.0,10.2,9.6,19.799999999999997,0.5152,48.0,37.5,9.9,60.2,34.9,11.9,23.0,136.1,68.2,8.1
2018,Geelong Cats,23.0,13.2,11.7,24.9,0.5301,53.2,38.0,12.0,66.9,37.3,11.5,25.8,150.0,70.7,11.3
2018,Gold Coast Suns,22.0,8.2,10.1,18.299999999999997,0.4481,47.0,43.0,7.5,69.3,37.5,11.3,26.2,144.1,71.6,11.9
2018,Greater Western Sydney Giants,24.0,12.0,13.1,25.1,0.4781,53.8,39.9,10.6,67.2,39.4,12.0,27.4,149.7,73.8,11.6
2018,Hawthorn Hawks,24.0,12.9,10.6,23.5,0.5489,54.1,30.8,11.8,68.9,36.4,12.0,24.4,142.5,72.9,12.7
2018,Melbourne Demons,25.0,14.8,12.8,27.6,0.5362,59.8,33.0,14.6,69.2,38.4,14.0,24.4,160.0,75.7,12.4
2018,North Melbourne Kangaroos,22.0,12.9,10.9,23.8,0.542,52.1,35.1,11.3,62.4,34.8,12.3,22.4,148.6,74.8,10.2
2018,Port Adelaide Power,22.0,11.8,10.3,22.1,0.5339,53.4,38.9,11.2,70.0,39.8,12.4,27.4,149.4,73.8,12.7
2018,Richmond Tigers,24.0,13.8,12.6,26.4,0.5227,59.0,34.8,13.0,62.4,33.7,12.4,21.3,148.0,83.0,12.1
2018,St Kilda Saints,22.0,10.2,11.7,21.9,0.4658,51.7,35.4,10.7,60.0,33.0,12.2,20.8,135.6,68.7,9.4
2018,Sydney Swans,23.0,11.8,9.6,21.4,0.5514,50.0,43.2,10.3,64.8,36.8,11.7,25.1,147.0,71.0,9.9
2018,West Coast Eagles,25.0,13.4,11.3,24.700000000000003,0.5425,53.4,36.7,11.6,61.0,36.6,12.2,24.4,143.8,72.2,10.7
2018,Western Bulldogs,22.0,10.2,10.5,20.7,0.4928,52.0,36.3,11.3,63.0,36.6,12.2,24.4,139.4,71.8,11.7
2019,Adelaide Crows,22.0,11.6,10.9,22.5,0.5156,51.0,40.9,9.9,63.3,38.1,11.5,26.6,147.6,72.3,10.1
2019,Brisbane Lions,24.0,12.8,12.8,25.6,0.5,56.0,39.2,10.8,63.7,41.9,12.3,29.6,148.2,71.8,13.9
2019,Carlton Blues,22.0,10.5,10.1,20.6,0.5097,48.0,41.1,9.7,62.6,40.4,11.7,28.7,142.5,71.2,9.3
2019,Collingwood Magpies,24.0,12.1,10.7,22.799999999999997,0.5307,51.8,38.0,12.3,63.1,36.3,10.7,25.7,146.5,72.0,11.2
2019,Essendon Bombers,23.0,11.1,9.9,21.0,0.5286,50.2,42.1,9.3,61.7,36.4,12.3,24.1,142.4,71.5,9.3
2019,Fremantle Dockers,22.0,10.2,10.4,20.6,0.4951,51.5,39.5,10.7,58.1,37.8,11.6,26.2,151.7,74.3,8.7
2019,Geelong Cats,25.0,12.8,10.7,23.5,0.5447,52.2,39.2,12.1,66.2,39.7,12.0,27.7,150.6,69.4,10.8
2019,Gold Coast Suns,22.0,8.8,8.5,17.3,0.5087,45.2,41.5,8.8,63.9,40.2,11.7,28.5,141.4,67.5,10.7
2019,Greater Western Sydney Giants,26.0,12.4,10.4,22.8,0.5439,51.5,40.4,11.2,63.9,41.9,12.3,29.6,144.0,70.2,10.7
2019,Hawthorn Hawks,22.0,11.4,11.0,22.4,0.5089,52.7,37.2,10.8,64.6,34.7,10.1,24.7,139.9,74.9,11.9
2019,Melbourne Demons,22.0,10.1,10.5,20.6,0.4903,54.0,37.7,11.6,61.2,39.1,12.6,26.5,148.9,70.5,12.1
2019,North Melbourne Kangaroos,22.0,12.1,10.6,22.7,0.533,51.8,37.4,11.9,57.2,35.9,11.9,23.9,145.6,69.9,9.0
2019,Port Adelaide Power,22.0,11.7,11.9,23.6,0.4958,58.1,36.3,11.8,64.4,41.4,13.1,28.4,155.6,78.2,13.3
2019,Richmond Tigers,25.0,12.9,10.9,23.8,0.542,55.8,38.3,12.1,62.8,34.0,11.8,22.2,137.4,74.6,10.1
2019,St Kilda Saints,22.0,10.6,11.2,21.799999999999997,0.4862,51.0,37.0,11.6,64.5,38.4,11.8,26.6,140.0,68.1,10.0
2019,Sydney Swans,22.0,11.3,9.9,21.200000000000003,0.533,47.7,44.3,12.1,66.1,34.8,10.5,24.3,138.1,70.6,9.6
2019,West Coast Eagles,24.0,12.9,9.6,22.5,0.5733,50.5,39.4,10.8,57.7,39.4,12.2,27.2,135.8,65.9,9.2
2019,Western Bulldogs,23.0,12.5,11.9,24.4,0.5123,55.4,37.6,12.7,62.1,36.9,12.1,24.8,141.0,70.3,10.1
2020,Adelaide Crows,17.0,6.8,7.7,14.5,0.469,36.1,34.2,5.7,53.2,26.8,7.2,19.6,114.1,57.9,7.8
2020,Brisbane Lions,19.0,9.5,11.0,20.5,0.4634,45.7,31.1,9.7,52.0,31.9,9.7,22.2,118.2,60.2,9.7
2020,Carlton Blues,17.0,8.6,8.3,16.9,0.5089,44.2,31.1,8.8,52.9,31.7,10.1,21.6,120.7,60.6,10.1
2020,Collingwood Magpies,19.0,8.2,7.2,15.399999999999999,0.5325,41.2,27.4,7.0,50.9,29.4,8.8,20.6,121.0,60.3,8.6
2020,Essendon Bombers,17.0,8.0,7.1,15.1,0.5298,39.8,32.6,8.3,49.5,30.2,10.3,19.9,111.3,56.3,9.2
2020,Fremantle Dockers,17.0,7.5,6.1,13.6,0.5515,37.4,34.2,8.3,48.8,28.9,8.1,20.9,119.3,60.8,8.1
2020,Geelong Cats,21.0,10.5,8.9,19.4,0.5412,43.1,29.8,10.7,52.0,33.9,10.8,23.1,121.0,56.0,9.4
2020,Gold Coast Suns,17.0,8.3,8.4,16.700000000000003,0.497,41.4,34.8,7.0,48.6,30.4,9.7,20.6,118.5,62.6,7.6
2020,Greater Western Sydney Giants,17.0,8.5,8.1,16.6,0.512,38.2,33.8,8.0,52.2,30.7,9.5,21.2,118.0,57.1,8.5
2020,Hawthorn Hawks,17.0,8.7,7.1,15.799999999999999,0.5506,39.4,31.1,7.7,48.1,25.7,8.8,16.9,110.1,60.3,7.7
2020,Melbourne Demons,17.0,9.1,7.8,16.9,0.5385,42.5,31.0,9.1,44.0,28.4,9.3,19.1,121.0,62.9,8.5
2020,North Melbourne Kangaroos,17.0,7.3,6.7,14.0,0.5214,39.1,34.0,7.3,49.5,29.8,9.9,19.9,118.8,55.8,8.0
2020,Port Adelaide Power,19.0,9.6,9.8,19.4,0.4948,46.3,28.3,8.5,57.0,34.5,10.5,24.0,126.7,61.4,10.9
2020,Richmond Tigers,21.0,9.6,8.7,18.299999999999997,0.5246,47.0,30.9,9.6,51.2,26.8,9.5,17.3,115.9,63.7,7.3
2020,St Kilda Saints,19.0,9.8,8.1,17.9,0.5475,41.3,31.0,9.2,47.5,29.7,10.3,19.5,115.4,57.4,10.2
2020,Sydney Swans,17.0,7.5,7.2,14.7,0.5102,39.4,37.0,7.2,55.0,29.2,8.8,20.4,118.6,62.3,8.2
2020,West Coast Eagles,18.0,9.6,7.3,16.9,0.568,39.0,32.5,8.9,45.7,31.7,11.3,20.4,114.7,56.8,8.4
2020,Western Bulldogs,18.0,9.3,8.8,18.1,0.5138,42.9,29.6,9.4,50.1,29.7,9.6,20.1,117.9,54.7,8.9
2021,Adelaide Crows,22.0,10.4,10.7,21.1,0.4929,49.8,41.1,10.0,56.5,35.0,12.0,22.9,139.3,69.4,9.1
2021,Brisbane Lions,24.0,13.9,11.2,25.1,0.5538,56.5,39.8,12.3,59.4,39.5,12.8,26.7,142.8,72.2,12.0
2021,Carlton Blues,22.0,11.4,11.1,22.5,0.5067,50.3,40.3,11.7,53.4,34.0,11.1,22.9,131.1,68.8,8.1
2021,Collingwood Magpies,22.0,10.2,9.4,19.6,0.5204,46.5,39.9,10.9,54.1,32.3,11.7,20.6,131.2,69.3,9.0
2021,Essendon Bombers,23.0,12.7,10.6,23.299999999999997,0.5451,52.6,38.0,11.9,57.7,34.3,13.2,21.1,129.7,66.8,10.0
2021,Fremantle Dockers,22.0,9.9,12.0,21.9,0.4521,51.0,37.8,11.4,48.8,36.2,11.7,24.5,133.9,65.3,7.1
2021,Geelong Cats,25.0,11.8,10.5,22.3,0.5291,52.4,36.1,12.6,56.5,39.1,11.3,27.8,137.4,63.2,9.7
2021,Gold Coast Suns,22.0,9.1,10.2,19.299999999999997,0.4715,48.7,42.5,9.3,62.1,34.1,10.3,23.9,131.9,69.8,10.2
2021,Greater Western Sydney Giants,24.0,11.6,9.8,21.4,0.5421,49.7,41.2,9.7,59.8,37.3,11.5,25.8,139.4,67.0,9.5
2021,Hawthorn Hawks,22.0,10.9,8.9,19.8,0.5505,48.7,40.5,9.9,60.4,34.5,11.0,23.4,133.6,69.8,10.5
2021,Melbourne Demons,25.0,12.9,12.3,25.200000000000003,0.5119,56.2,39.3,12.7,62.2,37.0,12.0,25.0,148.7,77.2,12.4
2021,North Melbourne Kangaroos,22.0,9.6,9.0,18.6,0.5161,47.3,40.3,10.4,52.7,33.0,12.4,20.7,123.0,64.7,8.2
