date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-06-20,Geelong Cats,Brisbane Lions,GMHBA Stadium,0,0.4596,2.0,167.6,0.5404,2.176,1.85,1.52,2.55,0.6265,-11.5,166.5,-0.3014,0.378,-9.5,1.1,51.0,92.0,-41.0,143.0,0,0,0
2025-06-21,Carlton Blues,North Melbourne Kangaroos,MCG,0,0.8927,21.1,178.1,0.8927,1.12,9.321,1.23,4.2,0.7735,-25.5,165.5,0.098,-0.5494,-4.4,12.6,73.0,84.0,-11.0,157.0,0,0,0
2025-06-21,Port Adelaide Power,Sydney Swans,Adelaide Oval,0,0.7268,11.8,154.2,0.7268,1.376,3.66,1.62,2.3,0.5867,-8.5,168.5,0.1774,-0.3716,3.3,-14.3,52.0,71.0,-19.0,123.0,0,0,0
2025-06-21,Collingwood Magpies,St Kilda Saints,Marvel Stadium,0,0.8086,17.7,167.4,0.8086,1.237,5.225,1.23,4.2,0.7735,-25.5,168.5,-0.0054,-0.1962,-7.8,-1.1,108.0,74.0,34.0,182.0,1,1,1
2025-06-22,Greater Western Sydney Giants,Gold Coast Suns,ENGIE Stadium,0,0.7057,10.5,161.1,0.7057,1.417,3.398,1.72,2.15,0.5556,-5.5,160.5,0.2138,-0.3673,5.0,0.6,106.0,99.0,7.0,205.0,1,1,1
2025-06-22,Western Bulldogs,Richmond Tigers,Marvel Stadium,0,0.9785,42.1,170.5,0.9785,1.022,46.449,1.07,8.5,0.8882,-45.5,180.5,0.047,-0.817,-3.4,-10.0,135.0,56.0,79.0,191.0,1,1,1
2025-06-26,Port Adelaide Power,Carlton Blues,Adelaide Oval,0,0.392,-11.1,139.5,0.608,2.551,1.645,1.75,2.1,0.5455,-4.5,164.5,-0.314,0.2768,-15.6,-25.0,110.0,60.0,50.0,170.0,1,1,1
2025-06-27,Sydney Swans,Western Bulldogs,SCG,0,0.1526,-22.7,161.4,0.8474,6.552,1.18,2.5,1.54,0.3812,10.5,172.5,-0.6185,0.305,-12.2,-11.1,96.0,105.0,-9.0,201.0,0,1,1
2025-06-28,Gold Coast Suns,Melbourne Demons,People First Stadium,0,0.7353,6.2,141.0,0.7353,1.36,3.778,1.36,3.2,0.7018,-18.5,172.5,-0.0,-0.1529,-12.3,-31.5,104.0,85.0,19.0,189.0,1,1,1
2025-06-28,Hawthorn Hawks,North Melbourne Kangaroos,UTAS Stadium,0,0.5634,18.6,163.7,0.5634,1.775,2.291,1.153,5.5,0.8267,-32.5,157.5,-0.3504,1.4012,-13.9,6.2,150.0,65.0,85.0,215.0,1,1,1
